bandwidth_gbps,cache_capacity_per_layer,cache_hit_rate,demand_hits,demand_loads,demand_misses,demand_transfer_bytes,expert_bytes,num_experts,oracle_gap_ms,oracle_gap_ratio,policy,prefetch_loads,prefetch_queue_depth,prefetch_transfer_bytes,prefetch_waste_count,stall_ms,stall_ms_per_input_token,stall_ms_per_token_layer_event,total_expert_refs,transfer_bytes,transfer_bytes_per_input_token,transfer_bytes_per_token_layer_event,waste_bytes,window_size,workload_weighted_miss_rate
32.0,1,0.0,0,214208,214208,75470091583488.0,352321536.0,8,187159.80595200043,0.0793574469674337,on_demand,0,0,0.0,0,2358440.361984,704.6430720000001,22.020096000000002,214208,75470091583488.0,22548578304.0,704643072.0,0.0,0,1.0
32.0,1,0.07935744696743352,16999,197209,197209,69480977793024.0,352321536.0,8,0.0,0.0,lru,0,0,0.0,0,2171280.5560319996,648.7243967827904,20.2726373994622,214208,69480977793024.0,20759180697.049297,648724396.7827905,0.0,0,0.9206425530325665
32.0,1,0.1648677920525844,35316,178892,178892,63027504218112.0,352321536.0,8,-201671.04921599966,-0.10239138698208958,static_hot,0,0,0.0,0,1969609.506816,588.4701245342097,18.389691391694054,214208,63027504218112.0,18831043985.09471,588470124.5342097,0.0,0,0.8351322079474156
32.0,1,0.07935744696743352,16999,197209,197209,69480977793024.0,352321536.0,8,0.0,0.0,belady_oracle,0,0,0.0,0,2171280.5560319996,648.7243967827904,20.2726373994622,214208,69480977793024.0,20759180697.049297,648724396.7827905,0.0,0,0.9206425530325665
32.0,1,0.19990850014938752,42822,171386,171386,60382978768896.0,352321536.0,8,-284312.4695039997,-0.15067158344322157,route_window_prefetch,421342,2,148447860621312.0,378520,1886968.086528,563.7789323358231,17.618091635494473,214208,208830839390208.0,62393438718.3173,1949794959.9474156,133360747806720.0,8,0.8000914998506125
32.0,2,0.0,0,214208,214208,75470091583488.0,352321536.0,8,,,on_demand,0,0,0.0,0,2358440.361984,704.6430720000001,22.020096000000002,214208,75470091583488.0,22548578304.0,704643072.0,0.0,0,1.0
32.0,2,0.3100771213026591,66421,147787,147787,52068542840832.0,352321536.0,8,,,lru,0,0,0.0,0,1627141.963776,486.1493766883777,15.192168021511803,214208,52068542840832.0,15556780054.028086,486149376.6883777,0.0,0,0.6899228786973409
32.0,2,0.3131022184045414,67069,147139,147139,51840238485504.0,352321536.0,8,,,static_hot,0,0,0.0,0,1620007.452672,484.01776297340905,15.125555092919033,214208,51840238485504.0,15488568415.149088,484017762.973409,0.0,0,0.6868977815954587
32.0,2,0.45633216313116226,97750,116458,116458,41030661439488.0,352321536.0,8,,,belady_oracle,0,0,0.0,0,1282208.169984,383.0917747188527,11.971617959964147,214208,41030661439488.0,12258936791.003286,383091774.7188527,0.0,0,0.5436678368688378
32.0,2,0.3921282118314909,83997,130211,130211,45876139524096.0,352321536.0,8,,,route_window_prefetch,413175,2,145570450636800.0,330075,1433629.360128,428.3326441971915,13.385395131162234,214208,191446590160896.0,57199459265.28115,1787483102.040036,116292530995200.0,8,0.6078717881685091
32.0,4,0.0,0,214208,214208,75470091583488.0,352321536.0,8,,,on_demand,0,0,0.0,0,2358440.361984,704.6430720000001,22.020096000000002,214208,75470091583488.0,22548578304.0,704643072.0,0.0,0,1.0
32.0,4,0.5854963400059755,125418,88790,88790,31282629181440.0,352321536.0,8,,,lru,0,0,0.0,0,977582.16192,292.0771323334329,9.127410385419779,214208,31282629181440.0,9346468234.669853,292077132.3334329,0.0,0,0.4145036599940245
32.0,4,0.5787458918434419,123972,90236,90236,31792086122496.0,352321536.0,8,,,static_hot,0,0,0.0,0,993502.6913279999,296.83378886405734,9.276055902001792,214208,31792086122496.0,9498681243.649836,296833788.86405736,0.0,0,0.4212541081565581
32.0,4,0.7601676874813266,162834,51374,51374,18100166590464.0,352321536.0,8,,,belady_oracle,0,0,0.0,0,565630.205952,168.99617745802212,5.281130545563191,214208,18100166590464.0,5407877678.656708,168996177.45802212,0.0,0,0.23983231251867343
32.0,4,0.6625476172691963,141923,72285,72285,25467562229760.0,352321536.0,8,,,route_window_prefetch,309390,2,109004760023040.0,208646,795861.31968,237.78348362115327,7.43073386316104,214208,134472322252800.0,40176971094.35315,1255530346.698536,73510479200256.0,8,0.3374523827308037
32.0,2,0.0,0,214208,214208,75470091583488.0,352321536.0,8,1076232.192,0.45633216313116226,on_demand,0,0,0.0,0,2358440.361984,704.6430720000001,22.020096000000002,214208,75470091583488.0,22548578304.0,704643072.0,0.0,0,1.0
32.0,2,0.3100771213026591,66421,147787,147787,52068542840832.0,352321536.0,8,344933.79379200004,0.21198752258317716,lru,0,0,0.0,0,1627141.963776,486.1493766883777,15.192168021511803,214208,52068542840832.0,15556780054.028086,486149376.6883777,0.0,0,0.6899228786973409
