allocation_mode,bandwidth_gbps,cache_hit_rate,demand_hits,demand_loads,demand_misses,demand_transfer_bytes,expert_bytes,num_experts,num_layers,oracle_gap_ms,oracle_gap_ratio,policy,prefetch_loads,prefetch_queue_depth,prefetch_transfer_bytes,prefetch_waste_count,stall_ms,stall_ms_per_input_token,stall_ms_per_token_layer_event,total_budget_fraction,total_cache_bytes,total_cache_slots,total_expert_refs,transfer_bytes,transfer_bytes_per_input_token,transfer_bytes_per_token_layer_event,waste_bytes,waste_bytes_per_input_token,window_size,workload_weighted_miss_rate,wrec_c_candidates_per_layer,wrec_c_max_slots_per_layer,wrec_c_min_slots_per_layer,wrec_c_overlap_ms,wrec_c_replan_interval,wrec_contention_penalty,wrec_cross_layer_weight,wrec_history_size,wrec_recent_weight,wrec_request_weight
uniform_per_layer,41.37220609315469,0.07890365448504984,71440,833968,833968,293824886734848.0,352321536.0,8,32,6606225.821743011,0.9301939642768068,lru,0,0,0.0,0,7101987.408485412,502.0136713427166,15.687927229459893,0.125,11274289152.0,32,905408,293824886734848.0,20769413072.372093,649044158.5116279,0.0,0.0,0,0.9210963455149501,,,,,,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.16594286774581182,150246,755162,755162,266059835768832.0,352321536.0,8,32,5935121.870856283,0.9229092565568712,static_hot,0,0,0.0,0,6430883.457598684,454.5757727856566,14.20549289955177,0.125,11274289152.0,32,905408,266059835768832.0,18806802556.643246,587712579.8951014,0.0,0.0,0,0.8340571322541882,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9357019156004807,847192,58216,58216,20510750539776.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,495761.58674240106,35.043584275281056,1.095112008602533,0.125,11274289152.0,32,905408,20510750539776.0,1449830390.8797624,45307199.714992575,0.0,0.0,0,0.06429808439951934,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.696925584929667,631002,274406,274406,96679143407616.0,352321536.0,8,32,1841052.244019508,0.78784720450719,wrec_h2,0,0,0.0,0,2336813.830761909,165.18087444418668,5.161902326380834,0.125,11274289152.0,32,905408,96679143407616.0,6833897180.1524,213559286.8797625,0.0,0.0,0,0.30307441507033295,0,0,0,0.0,0,0.0,1024.0,8,512.0,1024.0
global_wrec_constrained,41.37220609315469,0.6467990121580547,585617,319791,319791,112669256318976.0,352321536.0,8,32,2227546.3283658023,0.8179561025794972,wrec_c,27193,1,9580679528448.0,26663,2723307.9151082034,192.50073620613583,6.015648006441745,0.125,11274289152.0,32,905408,122249935847424.0,8641403537.67046,270043860.55220187,9393949114368.0,664024112.1345868,4,0.3532009878419453,4,8,0,10.0,16,0.0,1024.0,8,512.0,1024.0
uniform_per_layer,41.37220609315469,0.30709359758252636,278045,627363,627363,221033495789568.0,352321536.0,8,32,4919106.971325874,0.9207396674652474,lru,0,0,0.0,0,5342560.058119297,377.6461481670529,11.801442130220403,0.25,22548578304.0,64,905408,221033495789568.0,15624054272.25334,488251696.00791687,0.0,0.0,0,0.6929064024174737,,,,,,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.3123619406941401,282815,622593,622593,219352922062848.0,352321536.0,8,32,4878486.132230758,0.9201324139526142,static_hot,0,0,0.0,0,5301939.21902418,374.7748087244066,11.711712772637707,0.25,22548578304.0,64,905408,219352922062848.0,15505260625.068777,484539394.5333993,0.0,0.0,0,0.6876380593058599,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9450800081289319,855683,49725,49725,17519188377600.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,423453.08679342264,29.93235928418906,0.9353862276309082,0.25,22548578304.0,64,905408,17519188377600.0,1238367737.159822,38698991.78624444,0.0,0.0,0,0.05491999187106807,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.8163181681628614,739101,166307,166307,58593537687552.0,352321536.0,8,32,992800.5583620069,0.7010047682899697,wrec_h2,0,0,0.0,0,1416253.6451554296,100.10982152791614,3.1284319227473794,0.25,22548578304.0,64,905408,58593537687552.0,4141764168.2018805,129430130.25630876,0.0,0.0,0,0.18368183183713863,0,0,0,0.0,0,0.0,1024.0,8,512.0,1024.0
global_wrec_constrained,41.37220609315469,0.784924586484767,710677,194731,194731,68607925026816.0,352321536.0,8,32,1234856.4766931531,0.7446477448377505,wrec_c,25502,1,8984903811072.0,24827,1658309.5634865758,117.21987442472438,3.663121075772637,0.25,22548578304.0,64,905408,77592828837888.0,5484754989.601188,171398593.42503712,8747086774272.0,618299764.916378,4,0.2150754135152329,4,8,0,10.0,16,0.0,1024.0,8,512.0,1024.0
uniform_per_layer,41.37220609315469,0.4499109793595815,407353,498055,498055,175475502612480.0,352321536.0,8,32,3889986.1029553413,0.9171497123811627,lru,0,0,0.0,0,4241386.166775227,299.80816899520937,9.369005281100293,0.375,33822867456.0,96,905408,175475502612480.0,12403725356.081148,387616417.3775359,0.0,0.0,0,0.5500890206404184,,,,,,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.4456200961334559,403468,501940,501940,176844271779840.0,352321536.0,8,32,3923070.371274947,0.9177909710323943,static_hot,0,0,0.0,0,4274470.435094832,302.14677564818214,9.442086739005692,0.375,33822867456.0,96,905408,176844271779840.0,12500478672.498762,390639958.5155863,0.0,0.0,0,0.5543799038665441,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9544249664239768,864144,41264,41264,14538195861504.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,351400.0638198852,24.839193031730062,0.7762247822415644,0.375,33822867456.0,96,905408,14538195861504.0,1027652213.2963879,32114131.665512122,0.0,0.0,0,0.04557503357602319,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.8843791970028981,800724,104684,104684,36882427674624.0,352321536.0,8,32,540078.3260822296,0.6058232394635285,wrec_h2,0,0,0.0,0,891478.3899021148,63.0153665018813,1.9692302031837907,0.375,33822867456.0,96,905408,36882427674624.0,2607084729.951509,81471397.81098466,0.0,0.0,0,0.11562080299710185,0,0,0,0.0,0,0.0,1024.0,8,512.0,1024.0
global_wrec_constrained,41.37220609315469,0.8618766346221813,780350,125058,125058,44060626649088.0,352321536.0,8,32,713581.2560033796,0.6700411009291688,wrec_c,24081,1,8484254908416.0,22736,1064981.3198232648,75.27965786550257,2.3524893082969554,0.375,33822867456.0,96,905408,52544881557504.0,3714206655.6516576,116068957.9891143,8010382442496.0,566224813.9178624,4,0.1381233653778186,4,8,0,10.0,16,0.0,1024.0,8,512.0,1024.0
