allocation_mode,bandwidth_gbps,cache_hit_rate,demand_hits,demand_loads,demand_misses,demand_transfer_bytes,expert_bytes,num_experts,num_layers,oracle_gap_ms,oracle_gap_ratio,policy,prefetch_loads,prefetch_queue_depth,prefetch_transfer_bytes,prefetch_waste_count,stall_ms,stall_ms_per_input_token,stall_ms_per_token_layer_event,total_budget_fraction,total_cache_bytes,total_cache_slots,total_expert_refs,transfer_bytes,transfer_bytes_per_input_token,transfer_bytes_per_token_layer_event,waste_bytes,waste_bytes_per_input_token,window_size,workload_weighted_miss_rate,wrec_contention_penalty,wrec_cross_layer_weight,wrec_history_size,wrec_recent_weight,wrec_request_weight
none,41.37220609315469,0.0,0,905408,905408,318994737266688.0,352321536.0,8,32,7214601.659259795,0.9357019156004807,on_demand,0,0,0.0,0,7710363.246002196,545.0175476074218,17.03179836273193,0.125,11274289152.0,32,905408,318994737266688.0,22548578304.0,704643072.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.07890365448504984,71440,833968,833968,293824886734848.0,352321536.0,8,32,6606225.821743011,0.9301939642768068,lru,0,0,0.0,0,7101987.408485412,502.0136713427166,15.687927229459893,0.125,11274289152.0,32,905408,293824886734848.0,20769413072.372093,649044158.5116279,0.0,0.0,0,0.9210963455149501,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.16594286774581182,150246,755162,755162,266059835768832.0,352321536.0,8,32,5935121.870856283,0.9229092565568712,static_hot,0,0,0.0,0,6430883.457598684,454.5757727856566,14.20549289955177,0.125,11274289152.0,32,905408,266059835768832.0,18806802556.643246,587712579.8951014,0.0,0.0,0,0.8340571322541882,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.13927754117480737,126103,779305,779305,274565934612480.0,352321536.0,8,32,6140721.224792003,0.9252975407574698,route_window_prefetch,896405,1,315822786478080.0,770302,6636482.811534404,469.10884367953656,14.659651364985518,0.125,11274289152.0,32,905408,590388721090560.0,41732432394.893616,1304138512.3404255,271393983823872.0,19183854090.893616,4,0.8607224588251926,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9357019156004807,847192,58216,58216,20510750539776.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,495761.58674240106,35.043584275281056,1.095112008602533,0.125,11274289152.0,32,905408,20510750539776.0,1449830390.8797624,45307199.714992575,0.0,0.0,0,0.06429808439951934,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.3925556213331448,355423,549985,549985,193771559976960.0,352321536.0,8,32,4187855.224521159,0.8941498404501941,wrec_h,0,0,0.0,0,4683616.81126356,331.0678455689235,10.345870174028859,0.125,11274289152.0,32,905408,193771559976960.0,13697007137.69421,428031473.05294406,0.0,0.0,0,0.6074443786668552,0.0,0.0,8,512.0,0.0
global_wrec_adaptive,41.37220609315469,0.696925584929667,631002,274406,274406,96679143407616.0,352321536.0,8,32,1841052.244019508,0.78784720450719,wrec_h2,0,0,0.0,0,2336813.830761909,165.18087444418668,5.161902326380834,0.125,11274289152.0,32,905408,96679143407616.0,6833897180.1524,213559286.8797625,0.0,0.0,0,0.30307441507033295,0.0,1024.0,8,512.0,1024.0
none,41.37220609315469,0.0,0,905408,905408,318994737266688.0,352321536.0,8,32,7286910.159208774,0.9450800081289319,on_demand,0,0,0.0,0,7710363.246002196,545.0175476074218,17.03179836273193,0.25,22548578304.0,64,905408,318994737266688.0,22548578304.0,704643072.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.30709359758252636,278045,627363,627363,221033495789568.0,352321536.0,8,32,4919106.971325874,0.9207396674652474,lru,0,0,0.0,0,5342560.058119297,377.6461481670529,11.801442130220403,0.25,22548578304.0,64,905408,221033495789568.0,15624054272.25334,488251696.00791687,0.0,0.0,0,0.6929064024174737,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.3123619406941401,282815,622593,622593,219352922062848.0,352321536.0,8,32,4878486.132230758,0.9201324139526142,static_hot,0,0,0.0,0,5301939.21902418,374.7748087244066,11.711712772637707,0.25,22548578304.0,64,905408,219352922062848.0,15505260625.068777,484539394.5333993,0.0,0.0,0,0.6876380593058599,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.25309473740015553,229154,676254,676254,238258848006144.0,352321536.0,8,32,5335457.798202037,0.9264699358525051,route_window_prefetch,867588,1,305669936775168.0,717015,5758910.88499546,407.0764745172446,12.721139828663894,0.25,22548578304.0,64,905408,543928784781312.0,38448348397.63286,1201510887.4260268,252619826135040.0,17856777135.4379,4,0.7469052625998445,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9450800081289319,855683,49725,49725,17519188377600.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,423453.08679342264,29.93235928418906,0.9353862276309082,0.25,22548578304.0,64,905408,17519188377600.0,1238367737.159822,38698991.78624444,0.0,0.0,0,0.05491999187106807,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.5391458878207394,488147,417261,417261,147010036432896.0,352321536.0,8,32,3129899.5215225215,0.8808299841106645,wrec_h,0,0,0.0,0,3553352.608315944,251.1735780247363,7.849174313273009,0.25,22548578304.0,64,905408,147010036432896.0,10391605035.194458,324737657.3498268,0.0,0.0,0,0.46085411217926064,0.0,0.0,8,512.0,0.0
global_wrec_adaptive,41.37220609315469,0.8163181681628614,739101,166307,166307,58593537687552.0,352321536.0,8,32,992800.5583620069,0.7010047682899697,wrec_h2,0,0,0.0,0,1416253.6451554296,100.10982152791614,3.1284319227473794,0.25,22548578304.0,64,905408,58593537687552.0,4141764168.2018805,129430130.25630876,0.0,0.0,0,0.18368183183713863,0.0,1024.0,8,512.0,1024.0
none,41.37220609315469,0.0,0,905408,905408,318994737266688.0,352321536.0,8,32,7358963.182182311,0.9544249664239768,on_demand,0,0,0.0,0,7710363.246002196,545.0175476074218,17.03179836273193,0.375,33822867456.0,96,905408,318994737266688.0,22548578304.0,704643072.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0
