allocation_mode,bandwidth_gbps,cache_hit_rate,demand_hits,demand_loads,demand_misses,demand_transfer_bytes,expert_bytes,num_experts,num_layers,oracle_gap_ms,oracle_gap_ratio,policy,prefetch_loads,prefetch_queue_depth,prefetch_transfer_bytes,prefetch_waste_count,stall_ms,stall_ms_per_input_token,stall_ms_per_token_layer_event,total_budget_fraction,total_cache_bytes,total_cache_slots,total_expert_refs,transfer_bytes,transfer_bytes_per_input_token,transfer_bytes_per_token_layer_event,waste_bytes,waste_bytes_per_input_token,window_size,workload_weighted_miss_rate,wrec_c_candidates_per_layer,wrec_c_max_slots_per_layer,wrec_c_min_slots_per_layer,wrec_c_overlap_ms,wrec_c_replan_interval,wrec_contention_penalty,wrec_cross_layer_weight,wrec_history_size,wrec_recent_weight,wrec_request_weight
none,41.37220609315469,0.0,0,905408,905408,318994737266688.0,352321536.0,8,32,7214610.175158977,0.9357030200749276,on_demand,0,0,0.0,0,7710363.246002196,545.0175476074218,17.03179836273193,0.125,11274289152.0,32,905408,318994737266688.0,22548578304.0,704643072.0,0.0,0.0,0,1.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.07889702763836856,71434,833974,833974,293827000664064.0,352321536.0,8,32,6606285.43303728,0.930195665572308,lru,0,0,0.0,0,7102038.5038805,502.0172830904432,15.68804009657635,0.125,11274289152.0,32,905408,293827000664064.0,20769562498.343395,649048828.0732311,0.0,0.0,0,0.9211029723616314,,,,,,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.1659395543224712,150243,755165,755165,266060892733440.0,352321536.0,8,32,5935155.93445301,0.9229108870246899,static_hot,0,0,0.0,0,6430909.005296229,454.57757865952,14.20554933311,0.125,11274289152.0,32,905408,266060892733440.0,18806877269.628895,587714914.675903,0.0,0.0,0,0.8340604456775288,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.139244406941401,126073,779335,779335,274576504258560.0,352321536.0,8,32,6140985.217666625,0.9253016995258778,route_window_prefetch,896408,1,315823843442688.0,770335,6636738.288509845,469.12690241816955,14.660215700567798,0.125,11274289152.0,32,905408,590400347701248.0,41733254237.73577,1304164194.9292428,271405610434560.0,19184675933.735775,4,0.860755593058599,,,,,,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9357030200749276,847193,58215,58215,20510398218240.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,495753.0708432197,35.04298231732662,1.0950931974164568,0.125,11274289152.0,32,905408,20510398218240.0,1449805486.5512123,45306421.454725385,0.0,0.0,0,0.06429697992507245,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.7399117304022054,669922,235486,235486,82966789226496.0,352321536.0,8,32,1509621.9637799258,0.7527878515070959,wrec_h2,0,0,0.0,0,2005375.0346231456,141.75267085764796,4.429770964301499,0.125,11274289152.0,32,905408,82966789226496.0,5864620712.977734,183269397.28055418,0.0,0.0,0,0.2600882695977946,0,0,0,0.0,0,0.0,1024.0,8,0.0,1024.0
none,41.37220609315469,0.0,0,905408,905408,318994737266688.0,352321536.0,8,32,7286918.675107955,0.9450811126033788,on_demand,0,0,0.0,0,7710363.246002196,545.0175476074218,17.03179836273193,0.25,22548578304.0,64,905408,318994737266688.0,22548578304.0,704643072.0,0.0,0.0,0,1.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.3071024333781014,278053,627355,627355,221030677217280.0,352321536.0,8,32,4919047.360031605,0.9207402507352297,lru,0,0,0.0,0,5342491.930925846,377.6413325034174,11.801291640731794,0.25,22548578304.0,64,905408,221030677217280.0,15623855037.624939,488245469.92577934,0.0,0.0,0,0.6928975666218986,,,,,,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.31245802997101857,282902,622506,622506,219322270089216.0,352321536.0,8,32,4877753.76490116,0.9201228582535751,static_hot,0,0,0.0,0,5301198.335795402,374.7224383823709,11.710076199449091,0.25,22548578304.0,64,905408,219322270089216.0,15503093948.48491,484471685.8901534,0.0,0.0,0,0.6875419700289814,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.25317867745811834,229230,676178,676178,238232071569408.0,352321536.0,8,32,5334819.105763434,0.9264631502355889,route_window_prefetch,867574,1,305665004273664.0,716921,5758263.676657676,407.0307257127077,12.719710178522115,0.25,22548578304.0,64,905408,543897075843072.0,38446107008.06333,1201440844.001979,252586707910656.0,17854436128.55418,4,0.7468213225418817,,,,,,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9450811126033788,855684,49724,49724,17518836056064.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,423444.5708942413,29.931757326234628,0.9353674164448321,0.25,22548578304.0,64,905408,17518836056064.0,1238342832.8312716,38698213.52597724,0.0,0.0,0,0.054918887396621194,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.8365234236940694,757395,148013,148013,52148167507968.0,352321536.0,8,32,837019.2146372793,0.6640565355745779,wrec_h2,0,0,0.0,0,1260463.7855315206,89.09760270951584,2.78430008467237,0.25,22548578304.0,64,905408,52148167507968.0,3686164381.704107,115192636.92825334,0.0,0.0,0,0.1634765763059306,0,0,0,0.0,0,0.0,1024.0,8,0.0,1024.0
none,41.37220609315469,0.0,0,905408,905408,318994737266688.0,352321536.0,8,32,7358980.213980674,0.9544271753728706,on_demand,0,0,0.0,0,7710363.246002196,545.0175476074218,17.03179836273193,0.375,33822867456.0,96,905408,318994737266688.0,22548578304.0,704643072.0,0.0,0.0,0,1.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.44992754647628475,407368,498040,498040,175470217789440.0,352321536.0,8,32,3889875.3962659827,0.9171512328327042,lru,0,0,0.0,0,4241258.428287505,299.7991396258928,9.36872311330915,0.375,33822867456.0,96,905408,175470217789440.0,12403351791.152895,387604743.47352797,0.0,0.0,0,0.5500724535237153,,,,,,0.0,0.0,0,0.0,0.0
global_static_hot,41.37220609315469,0.4456929914469499,403534,501874,501874,176821018558464.0,352321536.0,8,32,3922525.3537273398,0.9177841450244484,static_hot,0,0,0.0,0,4273908.385748862,302.10704642318956,9.440845200724674,0.375,33822867456.0,96,905408,176821018558464.0,12498834986.814447,390588593.3379515,0.0,0.0,0,0.5543070085530502,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.5954619353926628,539136,366272,366272,129045513633792.0,352321536.0,8,32,2767752.3929357524,0.8873460160754849,route_window_prefetch,771488,1,271811837165568.0,395301,3119135.424957275,220.4803438861437,6.89001074644199,0.375,33822867456.0,96,905408,400857350799360.0,28335148851.301334,885473401.6031667,139273055502336.0,9844705980.23157,4,0.40453806460733727,,,,,,0.0,0.0,0,0.0,0.0
global_belady,41.37220609315469,0.9544271753728706,864146,41262,41262,14537491218432.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,351383.03202152246,24.837989115821195,0.7761871598694123,0.375,33822867456.0,96,905408,14537491218432.0,1027602404.6392875,32112575.144977733,0.0,0.0,0,0.04557282462712943,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.8919636230296176,807591,97817,97817,34463035686912.0,352321536.0,8,32,481616.6782021522,0.5781714834844659,wrec_h2,0,0,0.0,0,832999.7102236747,58.88172122878876,1.8400537883996488,0.375,33822867456.0,96,905408,34463035686912.0,2436066705.79713,76127084.55616032,0.0,0.0,0,0.10803637697038242,0,0,0,0.0,0,0.0,1024.0,8,0.0,1024.0
none,41.37220609315469,0.0,0,905408,905408,318994737266688.0,352321536.0,8,32,7431024.72105503,0.9637710291934686,on_demand,0,0,0.0,0,7710363.246002196,545.0175476074218,17.03179836273193,0.5,45097156608.0,128,905408,318994737266688.0,22548578304.0,704643072.0,0.0,0.0,0,1.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0
uniform_per_layer,41.37220609315469,0.5810419170142079,526080,379328,379328,133645423607808.0,352321536.0,8,32,2950980.4797220225,0.9135260249704741,lru,0,0,0.0,0,3230319.004669189,228.3395069392231,7.135609591850722,0.5,45097156608.0,128,905408,133645423607808.0,9446909140.298862,295215910.63433945,0.0,0.0,0,0.418958082985792,,,,,,0.0,0.0,0,0.0,0.0
