prepared 64 requests with strategy=fcfs dispatch_strategy=fcfs server_scheduling_policy=fcfs (arrival_interval=0.0, max_concurrency=128)
logged wrec-prefill-eval-0028 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0029 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0002 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0023 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0025 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0030 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0026 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0020 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0022 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0027 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0024 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0008 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0031 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0032 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0005 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0004 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0001 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0000 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0006 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0033 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0009 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0007 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0035 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0011 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
logged wrec-prefill-eval-0034 (strategy=fcfs, load=finite_slot_slot60_mbt1280_r1)
